INTL_20160320_000001	+1 Entrata Extra per giornaliera per qualsiasi dungeons
INTL_20160320_000002	Contiene una varieta' di benefici per tutti i tuoi Personaggi in questo server per 30 giorni. Tasto destro per usare.{nl}[Token Benefici]{nl} - Possibilita' di imparare piu' di 2 attributi simultaneamente{nl} - Riduzione Commissioni Negozio da (30% {img white_right_arrow 16 16} 10%){nl} - Possibilita' di vendere fino a 5 oggetti nel Negozio{nl} - Incremento di +3 la velocita'{nl} - +30% EXP dall'uccisione di mostri{nl} - Possibilita' di usare i Premium Gesti{nl}- Possibilita' di usare il Commercio Personale fino a 30 volte{nl}- 1 entrata in piu' per Missioni e Dungeons{nl}
INTL_20160320_000003	Contiene una varieta' di benefici per tutti i tuoi Personaggi in questo server per 60 giorni. Tasto destro per usare.{nl}[Token Benefici]{nl} - Possibilita' di imparare piu' di 2 attributi simultaneamente{nl} - Riduzione Commissioni Negozio da (30% {img white_right_arrow 16 16} 10%){nl} - Possibilita' di vendere fino a 5 oggetti nel Negozio{nl} - Incremento di +3 la velocita'{nl} - +30% EXP dall'uccisione di mostri{nl} - Possibilita' di usare i Premium Gesti{nl}- Possibilita' di usare il Commercio Personale fino a 60 volte{nl}- 1 entrata in piu' per Missioni e Dungeons{nl}
INTL_20160323_000004	- Possibilita' di imparare piu' di 2 attributi simultaneamente{nl} - Riduzione commissioni Negozio da (30% {img white_right_arrow 16 16} 10%){nl} - Possibilita' di  vendere piu' di 5 oggetti nel Negozio{nl} - Incremento di +3 la velocita'{nl} - Puoi commerciare solo fino a 30 volte{nl}
INTL_20160326_000005	Il Token garantisce benefici per tutti i tuoi Personaggi nel server per 60 giorni. Tasto destro per usare.{nl}[Token Benefici]{nl} - Possibilita' di imparare piu' di 2 attributi simultaneamente{nl} - Riduzione Commissioni Negozio da (30% {img white_right_arrow 16 16} 10%){nl} - Possibilita' di vendere fino a 5 oggetti nel Negozio{nl} - Incremento +3 la velocita'{nl} - +30% EXP dall'uccisione di mostri{nl}(Effetto Stacks con Tomo EXP){nl} - Possibilita' di usare i Premium Gesti{nl} - Incremento massimo conteggio Buff{nl} - Possibilita' di usare il Commercio Personale fino a 60 volte
INTL_20160326_000006	Token: 30 Giorni
INTL_20160329_000007	10x Box Enchant Scroll
INTL_20160329_000008	Contiene 10 Pergamene Incatamenti. Tasto destro per usare.
INTL_20160329_000009	10x Box Megafoni
INTL_20160329_000010	Contiene 10 Megafoni. Tasto destro per usare.
INTL_20160419_000011	Usa per ottenere 455 TP.
INTL_20160419_000012	Usa per ottenere 266 TP.
INTL_20160419_000013	Usa per ottenere 112 TP.
INTL_20160419_000014	Tasto destro per ottenere i seguenti oggetti:{nl} - 455 TP{nl} - Token (60 Giorni){nl} - Accessorio Capelli - Popolion Doll{nl} - Accessorio Capelli - Hanaming Doll{nl} - Hoglan Companion Voucher{nl} - Pozione Reset Stat{nl} - Pozione Reset Skill{nl}
INTL_20160419_000015	Tasto destro per ottenere i seguenti oggetti:{nl} - 266 TP{nl} - Token (30 Giorni){nl} - Accessorio Capelli - Popolion Doll{nl}
INTL_20160425_000016	Contiene una varieta' di benefici per tutti i tuoi Personaggi in questo server per 60 giorni. Tasto destro per usare.{nl}[Token Benefici]{nl} - Possibilita' di imparare attributi istantaneamente{nl} - Riduzione Commissioni Negozio da (30% {img white_right_arrow 16 16} 10%){nl} - Possibilita' di vendere fino a 5 oggetti nel Negozio{nl} - Incremento di +3 la velocita'{nl} - +20% EXP dall'uccisione di mostri{nl} - Possibilita' di usare i Premium Gesti{nl} - Incremento massimo conteggio Buff{nl} - Possibilita' di usare il Commercio Personale fino a 60 volte
INTL_20160425_000017	Contiene una varieta' di benefici per tutti i tuoi Personaggi in questo server per 30 giorni. Tasto destro per usare.{nl}[Token Benefici]{nl} - Possibilita' di imparare attributi istantaneamente{nl} - Riduzione Commissioni Negozio da (30% {img white_right_arrow 16 16} 10%){nl} - Possibilita' di vendere fino a 5 oggetti nel Negozio{nl} - Incremento di +3 la velocita'{nl} - +30% EXP dall'uccisione di mostri{nl} - Possibilita' di usare i Premium Gesti{nl} - Incremento massimo conteggio Buff{nl} - Possibilita' di usare il Commercio Personale fino a 30 volte{nl} - 1 entrata in piu' per Missioni e Dungeons
INTL_20160425_000018	Contiene una varieta' di benefici per tutti i tuoi Personaggi in questo server per 60 giorni. Tasto destro per usare.{nl}[Token Benefici]{nl} - Possibilita' di imparare attributi istantaneamente{nl} - Riduzione Commissioni Negozio da (30% {img white_right_arrow 16 16} 10%){nl} - Possibilita' di vendere fino a 5 oggetti nel Negozio{nl} - Incremento di +3 la velocita'{nl} - +30% EXP dall'uccisione di mostri{nl} - Possibilita' di usare i Premium Gesti{nl} - Incremento massimo conteggio Buff{nl} - Possibilita' di usare il Commercio Personale fino a 60 volte{nl} - 1 entrata in piu' per Missioni e Dungeons
INTL_20160426_000019	Contiene una varieta' di benefici per tutti i tuoi Personaggi in questo server per 60 giorni. Tasto destro per usare.{nl}[Token Benefici]{nl} - Possibilita' di imparare piu' di 2 attributi simultaneamente{nl} - Riduzione Commissioni Negozio da (30% {img white_right_arrow 16 16} 10%){nl} - Possibilita' di vendere fino a 5 oggetti nel Negozio{nl} - Incremento di +3 la velocita'{nl} - +30% EXP dall'uccisione di mostri{nl}(Effetto Stacks con Tomo EXP){nl} - Possibilita' di usare i Premium Gesti{nl} - Incremento massimo conteggio Buff{nl} - Possibilita' di usare il Commercio Personale fino a 60 volte{nl}
INTL_20160426_000020	Contiene una varieta' di benefici per tutti i tuoi Personaggi in questo server per 30 giorni. Tasto destro per usare.{nl}[Token Benefici]{nl} - Possibilita' di imparare attributi istantaneamente{nl} - Riduzione Commissioni Negozio da (30% {img white_right_arrow 16 16} 10%){nl} - Possibilita' di vendere fino a 10 oggetti nel Negozio{nl} - Incremento di +3 la velocita'{nl} - +30% EXP dall'uccisione di mostri{nl} - Possibilita' di usare i Premium Gesti{nl} - Incremento massimo conteggio Buff{nl} - Possibilita' di usare il Commercio Personale fino a 30 volte{nl} - 1 entrata in piu' per Missioni e Dungeons
INTL_20160426_000021	Grants Token benefits to all your characters in the server for 60 days. Right-click to use.{nl}[Token Benefits]{nl} - Able to learn up to 2 attributes simultaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 10 items on the Market{nl} - +3 increased character movement speed{nl} - +30% EXP from hunting monsters{nl}(Stacks with the EXP Tome effect){nl} - Possibilita' di usare i Premium Gesti{nl} - Incremento massimo conteggio Buff{nl} - Possibilita' di usare il Commercio Personale fino a 60 volte{nl} - 1 entrata in piu' per Missioni e Dungeons
INTL_20160512_000022	Usa per ottenere i seguenti oggetti:{nl} - 190 TP{nl} - Token: 15 Giorni{nl} - 20x Highly Condensed HP & SP Potion{nl} - 15x Soul Crystal{nl} - 15x Megafoni{nl} - 15x Warp Scroll{nl}
INTL_20160512_000023	Usa per ottenere 190 TP.
INTL_20160512_000024	Usa per ottenere i seguenti oggetti:{nl} - Token: 30 Giorni{nl} - 4x Enchant Scroll{nl} - 5x Voucher Reset Entrate Dungeon{nl}
INTL_20160718_000025	Contiene una varieta' di benefici per tutti i tuoi Personaggi in questo server per 7 giorni. Tasto destro per usare.{nl}[Token Benefici]{nl} - Possibilita' di imparare attributi istantaneamente{nl} - Riduzione Commissioni Negozio da (30% {img white_right_arrow 16 16} 10%){nl} - Possibilita' di vendere fino a 10 oggetti nel Negozio{nl} - Incremento di +3 la velocita'{nl} - +30% EXP dall'uccisione di mostri{nl} - Possibilita' di usare i Premium Gesti{nl} - Incremento massimo conteggio Buff{nl} - 1 entrata in piu' per Missioni e Dungeons
INTL_20160728_000026	Contiene una varieta' di benefici per tutti i tuoi Personaggi in questo server per 60 giorni. Tasto destro per usare.{nl}[Token Benefici]{nl} - Possibilita' di imparare attributi istantaneamente{nl} - Riduzione Commissioni Negozio da (30% {img white_right_arrow 16 16} 10%){nl} - Possibilita' di vendere fino a 10 oggetti nel Negozio{nl} - Incremento di +3 la velocita'{nl} - +30% EXP dall'uccisione di mostri{nl} - Possibilita' di usare i Premium Gesti{nl} - Incremento massimo conteggio Buff{nl} - Possibilita' di usare il Commercio Personale fino a 60 volte{nl} - 1 entrata in piu' per Missioni e Dungeons
INTL_20160728_000027	Contiene una varieta' di benefici per tutti i tuoi Personaggi in questo server per 30 giorni. Tasto destro per usare.{nl}[Token Benefici]{nl} - Possibilita' di imparare attributi istantaneamente{nl} - Riduzione Commissioni Negozio da (30% {img white_right_arrow 16 16} 10%){nl} - Possibilita' di vendere fino a 10 oggetti nel Negozio{nl} - Incremento di +3 la velocita'{nl} - +30% EXP dall'uccisione di mostri{nl} - Possibilita' di usare i Premium Gesti{nl} - Incremento massimo conteggio Buff{nl} - Possibilita' di usare il Commercio Personale fino a 30 volte{nl} - 1 entrata in piu' per Missioni e Dungeons
INTL_20160728_000028	Contiene una varieta' di benefici per tutti i tuoi Personaggi in questo server per 7 giorni. Tasto destro per usare.{nl}[Token Benefici]{nl} - Possibilita' di imparare attributi istantaneamente{nl} - Riduzione Commissioni Negozio da (30% {img white_right_arrow 16 16} 10%){nl} - Possibilita' di vendere fino a 10 oggetti nel Negozio{nl} - Incremento di +3 la velocita'{nl} - +30% EXP dall'uccisione di mostri{nl} - Possibilita' di usare i Premium Gesti{nl} - Incremento massimo conteggio Buff{nl} - 1 entrata in piu' per Missioni e Dungeons			

